Brand,Model,Year,Mileage,Condition,Price,Number of Cylinders,Engine Capacity,Ratings,Color
Toyota,Corolla,2006,98562,Foreign Used, 3865000,4,2000.0, 4.00,gold
Honda,Accord,2007,98000,Locally Used, 1315000,4,2000.0, 3.40,Grey
Toyota,Corolla,2005,238145,Locally Used, 3815000,4,2000.0, 4.00,ash
Toyota,Corolla,2006,110428,Locally Used, 3815000,4,2000.0, 4.00,Grey
Toyota,Corolla,2007,97853,Locally Used, 3815000,4,2400.0, 4.00,sliver
Toyota,Camry,2010,79188,Foreign Used, 5415000,4,2500.0, 4.00,golden yellow
Mercedes-Benz,C 300,2012,97573,Locally Used, 7515000,6,3000.0, 4.50,Grey
Lexus,RX 350,2013,103195,Foreign Used, 14515000,6,3400.0, 4.40,Silver
Toyota,Highlander,2011,34259,Foreign Used, 11530000,6,, 3.30,Grey
Hyundai,Sonata,2012,110657,Foreign Used, 5715000,4,, 4.00,White
Ford,Edge,2010,97654,Foreign Used, 5145000,6,1000.0, 4.40,White
Lexus,RX 350,2012,192194,Foreign Used, 11015000,6,2350.0, 4.10,ash
Lexus,GX 460,2014,123751,Foreign Used, 26015000,6,3300.0, 4.30,White
Toyota,Camry,2006,115000,Foreign Used, 3510000,4,, 4.00,White
Toyota,Camry,2009,130248,Foreign Used, 4130000,4,1000.0, 4.40,Silver
Toyota,Corolla,2016,160654,Foreign Used, 7715000,4,2500.0, 4.00,Red
Toyota,Camry,2007,76000,Foreign Used, 4515000,4,1000.0, 4.00,Grey
Toyota,Camry,2012,62597,Locally Used, 6815000,4,2500.0, 4.00,black
Toyota,Camry,2018,85000,Foreign Used, 15015000,4,1000.0, 4.20,Silver
Toyota,Camry,2005,86790,Foreign Used, 3330000,4,2200.0, 4.00,gold
Toyota,Highlander,2014,44871,Foreign Used, 15515000,6,1000.0, 4.40,black
Toyota,Camry,2010,58268,Foreign Used, 5830000,4,, 4.20,gold
Toyota,Highlander,2006,180340,Locally Used, 4615000,6,, 3.50,Silver
Toyota,Camry,2009,195621,Foreign Used, 4715000,4,1000.0, 4.00,black
