brand,model,mileage,condition,year,color,engine_size,cylinder,price
Toyota,Camry,355845,Foreign Used,2005,Silver,2400,NULL,"₦ 3,640,000"
Toyota,Avalon,107251,Nigerian Used,2011,Black,3500,6,"₦ 4,210,000"
Mercedes-Benz,C300,150928,Foreign Used,2008,Black,3000,NULL,"₦ 5,145,000"
Toyota,RAV4,181035,Foreign Used,2004,Silver,2400,4,"₦ 3,675,000"
Toyota,Corolla,188678,Nigerian Used,2010,White,1800,4,"₦ 3,848,000"
Ford,Mustang,126782,Foreign Used,2016,Gray,3700,NULL,"₦ 15,435,000"
Lexus,ES,267034,Nigerian Used,2007,Ivory,3500,NULL,"₦ 3,570,000"
Honda,Accord,281034,Foreign Used,2014,Black,2400,NULL,"₦ 6,457,500"
Honda,Pilot,247653,Foreign Used,2008,Green,3500,6,"₦ 3,803,100"
Mercedes-Benz,M Class,194642,Nigerian Used,2006,Black,5000,8,"₦ 3,570,000"
Toyota,Highlander,108335,Foreign Used,2015,White,3500,NULL,"₦ 15,120,000"
Toyota,Corolla,149529,Nigerian Used,2013,Blue,1800,NULL,"₦ 4,160,000"
Toyota,Corolla,91447,Nigerian Used,2009,White,1800,NULL,"₦ 3,744,000"
Lexus,ES,267034,Nigerian Used,2007,Ivory,3500,NULL,"₦ 3,570,000"
Toyota,RAV4,181035,Foreign Used,2004,Silver,2400,4,"₦ 3,675,000"
Chevrolet,Equinox,192781,Nigerian Used,2010,Red,3500,NULL,"₦ 4,410,000"
Lexus,GX,104330,Nigerian Used,2011,Silver,4600,8,"₦ 18,720,000"
Mercedes-Benz,M Class,194642,Nigerian Used,2006,Black,5000,8,"₦ 3,570,000"
Kia,Optima,84321,Nigerian Used,2016,White,2400,NULL,"₦ 5,775,000"
Lexus,RX 350,52276,Nigerian Used,2010,Black,3500,NULL,"₦ 7,350,000"
Mercedes-Benz,C350,289939,Foreign Used,2008,Black,3500,NULL,"₦ 3,885,000"
